"date","n","avg"
2019-07-15,3070,1890.28571428571
2019-07-16,2158,1912.42857142857
2019-07-17,2927,1970
2019-07-18,2096,1907.28571428571
2019-07-19,2662,1903.14285714286
2019-07-20,297,1900.14285714286
2019-07-22,2325,1780.71428571429
2019-07-23,2320,1803.85714285714
2019-07-24,3134,1833.42857142857
2019-07-25,2003,1820.14285714286
2019-07-26,2364,1777.57142857143
2019-07-27,298,1777.71428571429
2019-07-29,2636,1822.14285714286
2019-07-30,2215,1807.14285714286
2019-07-31,2614,1732.85714285714
2019-08-01,2464,1798.71428571429
2019-08-02,2679,1843.71428571429
2019-08-05,2871,1834.71428571429
2019-08-06,2479,1872.42857142857
2019-08-07,2788,1897.28571428571
2019-08-08,2299,1873.71428571429
2019-08-09,2621,1865.42857142857
2019-08-10,1,1865.57142857143
2019-08-11,1,1865.71428571429
2019-08-12,3223,1916
2019-08-13,2394,1903.85714285714
2019-08-14,2297,1833.71428571429
2019-08-15,2436,1853.28571428571
2019-08-16,2224,1796.57142857143
2019-08-19,3737,1869.71428571429
2019-08-20,2028,1817.42857142857
2019-08-21,2429,1836.28571428571
2019-08-22,2160,1796.85714285714
2019-08-23,2082,1776.57142857143
2019-08-26,1592,1470.14285714286
2019-08-27,2433,1528
2019-08-28,2509,1539.42857142857
2019-08-29,2109,1532.14285714286
2019-08-30,2322,1566.42857142857
